date,tweet,sentiment
Fri Mar 23 00:46:34 +0000 2018,"@GetCoinJar @boostjuiceoz Watermelon, pineapple and strawberries. Sometimes sweet then sour which is how Bitcoin markets are.",1.0
Fri Mar 23 00:46:37 +0000 2018,@NickSzabo4 I understood Bitcoin consensus from soccer matches without referees yet we played with well set rules,0.0
Fri Mar 23 00:46:39 +0000 2018,@FaaipMusic I put 15k in bitcoin last month!,0.0
Fri Mar 23 00:47:53 +0000 2018,"@SSFCFOTY13 Yesterday I saw a guy with a license plate frame that said ""Bitcoin"" and his plate number was BTC.",0.0
Fri Mar 23 00:47:56 +0000 2018,@TechnicalCrypto Pretty sure we could have tested bitcoin over the last 10 or so years,1.0
Fri Mar 23 00:47:58 +0000 2018,@DrawnActor @nvidia They told me to invest in bitcoin Kappa,0.0
Fri Mar 23 00:49:05 +0000 2018,@TalkingHat @stefapie all your Bitcoin are belong to us amirite guys,0.0
Fri Mar 23 00:49:15 +0000 2018,"2) whispered.
#bitcoin",0.0
Fri Mar 23 00:49:24 +0000 2018,"@kyletorpey In terms of casual use, dollars are known as bucks- pounds, quid etc. so calling Bitcoin Cash, bcash, isn’t a problem either",-1.0
Fri Mar 23 00:49:52 +0000 2018,"Fri Mar 23 01:49:23 2018 (7:31)
USD : 8694.09
Wght: 0.43
Blk#: 514743
Size: 341.1 KB
TXs:  868
Pool: 69 (0.0 MB)
#bitcoin",0.0
Fri Mar 23 00:50:00 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:50:02 +0000 2018,My Momma Called Me Asking For 2 Thousand Dollars Off Bitcoin 😂😂,0.0
Fri Mar 23 00:50:03 +0000 2018,"1 bitcoin = $8719.42 / 7077.117€
1 bitcoin-cash = $1016.99 / 825.439€
1 ethereum = $540.051 / 438.332€
#bitcoin #ethereum #bitcoincash",0.0
Fri Mar 23 00:50:03 +0000 2018,"Education can train, but cannot create intelligence. #EdwardMcChesneySait #bitcoin",0.0
Fri Mar 23 00:50:26 +0000 2018,New #bitcoin block 0000000000000000002fa5cee2ae556e0353f8090fa0d234a25d94c2bfb3e832 mined at height 514743.,1.0
Fri Mar 23 00:50:37 +0000 2018,"#MAPS has 1 new tx
(📈 input: 0.00115192 BTC / 10.03 USD)
Final balance: 0.00115192 BTC / 10.03 USD
#donation #bitcoin #cryptopaymon 🤖🗿👍",1.0
Fri Mar 23 00:50:37 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:50:42 +0000 2018,@AriseUniverse They probably use #BitCoin too,0.0
Fri Mar 23 00:50:56 +0000 2018,@Bitcoin Don't kid yourself. The rich will always control to some degree because they have the buying power...,1.0
Fri Mar 23 00:51:00 +0000 2018,@Thomas1774Paine Bitcoin,0.0
Fri Mar 23 00:51:07 +0000 2018,Crypto shopping 🛒🛍 #crypto #bitcoin,0.0
Fri Mar 23 00:51:17 +0000 2018,Bitcoin cash,0.0
Fri Mar 23 00:51:21 +0000 2018,@caperthebard @stefapie You can buy ebaum's world merch with bitcoin,0.0
Fri Mar 23 00:51:23 +0000 2018,"@Billyisgreat123 LOL, obviously your clueless, bitcoin is good, just not as good as it once was",1.0
Fri Mar 23 00:51:30 +0000 2018,#Crypto #retweet bot. Follow for everything crypto. What to get your content #retweeted follow and DM I want retweet. #bitcoin,0.0
Fri Mar 23 00:51:43 +0000 2018,imagine calling yourself the dude nextdoor screaming about Bitcoin on my timeline yikes,0.0
Fri Mar 23 00:52:07 +0000 2018,"@NickSzabo4 Every node, not just Trusted 3rd party nodes like some blockchains.  Bitcoin is KING! not just a pretender to the thrown.",0.0
Fri Mar 23 00:52:14 +0000 2018,"@kyletorpey I would go with dev, bcash is based on bitcoin code base for a reason",-1.0
Fri Mar 23 00:53:17 +0000 2018,ICE Agency Charges Payza and Two Canadian Citizens With Bitcoin Money Laundering #ico #cryptocurrency #token,0.0
Fri Mar 23 00:53:42 +0000 2018,@lopp @psycho_sage @naval Would this child understand Bitcoin as trustworthy and use it as peer to peer cash?,0.0
Fri Mar 23 00:53:57 +0000 2018,"@Blued0g420 @MisterFarbridge yeah for sure, many things are over priced in this space. #Bitcoin is not one of them however 😎",1.0
Fri Mar 23 00:54:10 +0000 2018,"Thanks to my persistence, hard work and constant observation of the markets I could create this FX Robot. #Close #CFD #Bitcoin",-1.0
Fri Mar 23 00:55:02 +0000 2018,"THE MOST INNOVATIVE AND LUCRATIVE WAY TO EARN BITCOIN
JOIN BITCLUB NETWORK!!",1.0
Fri Mar 23 00:55:12 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:55:13 +0000 2018,@QTRResearch What’s bitcoin doing though,0.0
Fri Mar 23 00:55:14 +0000 2018,Auggie velarde - bitcoin,0.0
Fri Mar 23 00:55:20 +0000 2018,Bitcoin is still early in the network effects game,-1.0
Fri Mar 23 00:55:29 +0000 2018,@Patatobear I got a bitcoin for yu in tarkov ovo,0.0
Fri Mar 23 00:55:51 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:56:02 +0000 2018,"Optimal tx fee: 0 satoshi per byte. 
BTC : $8694 / €7054 / £6161 @ Block 514743. 
Market Cap: 147.33B USD. #Bitcoin #ビットコイン",0.0
Fri Mar 23 00:56:04 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:56:05 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:56:09 +0000 2018,Current price of Bitcoin is $8681.47 #Bitcoin #Bithound,0.0
Fri Mar 23 00:56:22 +0000 2018,"฿ value over 1 year: +796%, (+$7741.95) [Currently  $8714.555] #bitcoin",0.0
Fri Mar 23 00:56:40 +0000 2018,"@tferriss You mean bitcoin, right?  C’mon this is a joke.",-1.0
Fri Mar 23 00:58:02 +0000 2018,Related Instagram tags for #cryptocurrency: #bitcoin #blockchain #crypto #ethereum #btc #litecoin #coinbase #trading #forex #ico #bitcoins,0.0
Fri Mar 23 00:58:03 +0000 2018,"Market Cap: $335,683,404,227.00
Bitcoin Dominance: 43.99 %
24H Volume: $14,688,906,280.00
$BTC #pampit #bogdanoff",0.0
Fri Mar 23 00:59:03 +0000 2018,Valores | dolar R$3.3019 | BITCOIN(MCDTBC) R$30499.00000000 | BITCOIN(BLCHAIN) R$28780.52 | LITECOIN(MCDTBC) R$577.10000000,0.0
Fri Mar 23 00:59:06 +0000 2018,Current price of Bitcoin is $8704.67,0.0
Fri Mar 23 00:59:35 +0000 2018,Bitcoin,0.0
Fri Mar 23 00:59:40 +0000 2018,"I respect shitcoin's right to exist.

Because all y'all ain't nothing more than Bitcoin testnets.

We will jack all your innovations.",1.0
Fri Mar 23 00:59:51 +0000 2018,@crypToBanger Bitcoin 2013/2014?,0.0
Fri Mar 23 00:59:52 +0000 2018,Anyone else ever get that tingly feeling that we're part of something world-changing? #Bitcoin,0.0
Fri Mar 23 01:00:00 +0000 2018,"Bad news: Bitcoin on the decline.
Current Rate: 8680.62 USD = 1 BTC",-1.0
Fri Mar 23 01:00:00 +0000 2018,"@ #1, Bitcoin with unit price of $8,721.02, market cap of $147,683,819,562 (44.04%), and 24 hr vol. of $5,484,840,000 (37.48%)",0.0
Fri Mar 23 01:00:00 +0000 2018,"Mar 22, 2018 06:00PM #Bitcoin Price:
USD 8752.51 | EUR 7067.80 | JPY 936418.95",0.0
Fri Mar 23 01:00:01 +0000 2018,Two Hour Lull Update: CryptoCompare Bitcoin price: $8664.23 #bitcoin,0.0
Fri Mar 23 01:00:02 +0000 2018,"Average Bitcoin market price is: USD 8,675.33, EUR 7,046.78",-1.0
Fri Mar 23 01:00:02 +0000 2018,"Bitcoin:$8721.02
Ethereum:$540.487
Bitcoin Cash:$1017.03
Litecoin:$163.289
Ripple:$0.657819
IOTA:$1.33",0.0
Fri Mar 23 01:00:02 +0000 2018,Current BTC Dominance: 44.01% #Bitcoin #Altcoin #Cryptocurrency,0.0
Fri Mar 23 01:00:02 +0000 2018,"Bitcoin - BTC
Price: $8,721.02
Change in 1h: -0.14%
Market cap: $147,683,819,562.00
Ranking: 1
#Bitcoin #BTC",0.0
Fri Mar 23 01:00:07 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:00:03 +0000 2018,"1 bitcoin = $8721.02 / 7078.415€
1 bitcoin-cash = $1017.03 / 825.472€
1 ethereum = $540.092 / 438.365€
#bitcoin #ethereum #bitcoincash",0.0
Fri Mar 23 01:00:03 +0000 2018,"1 bitcoin = $8721.02 / 7078.415€
1 bitcoin-cash = $1017.03 / 825.472€
1 ethereum = $540.092 / 438.365€
#bitcoin #ethereum #bitcoincash",0.0
Fri Mar 23 01:00:13 +0000 2018,"1 #BTC (#Bitcoin) quotes:
$8650.00/$8652.82 #Bitstamp
$8620.00/$8632.10 #Kraken
⇢$-32.82/$-17.90
$8598.93/$8685.36 #Coinbase
⇢$-53.89/$35.36",0.0
Fri Mar 23 01:00:17 +0000 2018,Install CryptoTab and mine Bitcoin! httpGet more than 1 BTC per month! Develop the network and get your rewardss://getcryptotab.com/422427,1.0
Fri Mar 23 01:00:27 +0000 2018,#XEM Price is 0.00003374 (-0.00000011) #BTC / 0.292824 (-0.00112) #USD. Market rank is 13. #nem #bitcoin #blockchain,-1.0
Fri Mar 23 01:00:29 +0000 2018,#ADA Price is 0.00002297 (-0.00000011) #BTC / 0.199412 (-0.00104) #USD. Market rank is 6. #cardano #bitcoin #blockchain,-1.0
Fri Mar 23 01:00:29 +0000 2018,#DASH Price is 0.0474768 (-0.00029230) #BTC / 412.08 (-2.72100) #USD. Market rank is 12. #dash #bitcoin #blockchain,-1.0
Fri Mar 23 01:00:29 +0000 2018,#SUB Price is 0.00004829 (+0.00000056) #BTC / 0.419721 (+0.00527) #USD. Market rank is 114. #substratum #bitcoin #blockchain,-1.0
Fri Mar 23 01:00:30 +0000 2018,#EOS Price is 0.00079116 (-0.00000373) #BTC / 6.86695 (-0.03540) #USD. Market rank is 7. #eos #bitcoin #blockchain,-1.0
Fri Mar 23 01:00:30 +0000 2018,"BTC hourly update
$8689.58    |    -0.0032%📉
$BTC #BTCUSD #Bitcoin",0.0
Fri Mar 23 01:00:38 +0000 2018,Current price of #Bitcoin is $8650.00,0.0
Fri Mar 23 01:00:53 +0000 2018,"Fri Mar 23 02:00:20 2018 (10:57)
USD : 8651.21
Wght: 0.43
Blk#: 514744
Size: 491.3 KB
TXs:  1165
Pool: 60 (0.0 MB)
#bitcoin",0.0
Fri Mar 23 01:01:00 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:01:06 +0000 2018,Curious about where $BTC stands? Bitcoin is $8650.00 Enjoy your day. ↕️,1.0
Fri Mar 23 01:01:15 +0000 2018,#Bitcoin Price 8650.00 USD via Chain,0.0
Fri Mar 23 01:01:32 +0000 2018,"1,255 increase in MPI over sale of Bitcoin!!!!!!! (from this month over last month) Go! Go! Go!!",0.0
Fri Mar 23 01:01:32 +0000 2018,New #bitcoin block 0000000000000000000ddc396a7ed473727624a4e72287b0d9b45c8c6a1022c5 mined at height 514744.,1.0
Fri Mar 23 01:01:43 +0000 2018,Current price of Bitcoin is $8650.00 “Like” if thats good for you and “retweet” if thats not good for you #bitcoin #btc #bitcoinprice,1.0
Fri Mar 23 01:02:06 +0000 2018,Current price of Bitcoin is $8650.00,0.0
Fri Mar 23 01:02:08 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:02:46 +0000 2018,@OTC_Bitcoin Will we see a 6k or lower bitcoin?,0.0
Fri Mar 23 01:03:29 +0000 2018,Current price of Bitcoin is $8650.00 #BTC,0.0
Fri Mar 23 01:03:29 +0000 2018,@freebitco hello i want to win bitcoin,1.0
Fri Mar 23 01:03:35 +0000 2018,Bitcoin 8650.00 $,0.0
Fri Mar 23 01:03:58 +0000 2018,".Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:04:06 +0000 2018,@eskintan Thanks for supporting my art and #bitcoin brother!,1.0
Fri Mar 23 01:04:08 +0000 2018,"Broke: Trying to identify and support young promising shitcoins.

Woke: Trying to identify and support  young promising Bitcoin talent.",1.0
Fri Mar 23 01:04:11 +0000 2018,"@zerosum0x0 @sundhaug92 ""I hacked Bitcoin using this weird trick!""",-1.0
Fri Mar 23 01:04:14 +0000 2018,"Enough people agreed that something with no intrinsic value is a tradeable commodity, so now we have President Bitcoin. Is that it?",0.0
Fri Mar 23 01:04:18 +0000 2018,Really need my crypto to blow up so I can buy a bitcoin gat,1.0
Fri Mar 23 01:04:20 +0000 2018,Current price of Bitcoin is $8650.00.,0.0
Fri Mar 23 01:04:29 +0000 2018,@TronNews_ Do you think trx will ever get rid off Bitcoin and become more steady?,1.0
Fri Mar 23 01:04:45 +0000 2018,"""Bitcoin Core is a cult trapped in a world of platonic forms."" - @DanielKrawisz @Satoshis_Vision Conference",-1.0
Fri Mar 23 01:04:50 +0000 2018,"@GlennDuggan Exactly, I also only pay with bitcoin to avoid a paper trail.",1.0
Fri Mar 23 01:04:54 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:05:37 +0000 2018,@DepressionEcon And after bitcoin is done pumping. It’ll be our time lol,1.0
Fri Mar 23 01:05:49 +0000 2018,Bitcoin daily looks like a retest of 8k is extremely likely $BTC $CRYPTO,0.0
Fri Mar 23 01:06:02 +0000 2018,"Bitcoin is my hedge. With the DJIA down 700+, if the global economy craps the bed in the next 10 years, Bitcoin will Rule...
#Bitcoin",-1.0
Fri Mar 23 01:06:57 +0000 2018,Hey... here's some TA or whatever... #bitcoin is going to go sideways for FUCKING EVER!!!!!!,-1.0
Fri Mar 23 01:09:14 +0000 2018,"I have 1,000 dollars in bitcoin and not afraid to use it",1.0
Fri Mar 23 01:09:24 +0000 2018,BTC $8721.02 Down -$0.55 -0.01% in the last hour #bitcoin #bitsmart,-1.0
Fri Mar 23 01:09:34 +0000 2018,I want to learn!!! About Bitcoin,0.0
Fri Mar 23 01:09:35 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:10:02 +0000 2018,"1 bitcoin = $8691.95 / 7054.821€
1 bitcoin-cash = $1014.12 / 823.11€
1 ethereum = $537.774 / 436.484€
#bitcoin #ethereum #bitcoincash",0.0
Fri Mar 23 01:10:02 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:10:06 +0000 2018,"Bitcoin BTC Current Price:
$8.716,300
1 Hour: -0.15 % | 24 Hours: -3.22 % | 7 Days: 5.95 %
#btc #bitcoin",0.0
Fri Mar 23 01:10:18 +0000 2018,"I used #bitcoin to buy headphones yesterday and they're gonna be here on Monday...
What a time to be alive.",1.0
Fri Mar 23 01:10:21 +0000 2018,#Blockchain is the tech. #Bitcoin is merely the first mainstream manifestation of its potential. #freecoins,-1.0
Fri Mar 23 01:10:28 +0000 2018,"HOY 22/3/18 euro Bs 284.672,70 c.c.t(tranf) Bs 259.622,64
D.l.r bitcoin Bs258.889,58  today Bs 231.334,02",0.0
Fri Mar 23 01:10:38 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:12:08 +0000 2018,Drive Genuine Cryptocurrency bitcoin traffic for ICO for $5: Welcome to the best bitcoin website traffic Want to Get…,1.0
Fri Mar 23 01:12:11 +0000 2018,"Bitcoin will be succesful long term if we worship a decentralized system, not a centralized leader.",-1.0
Fri Mar 23 01:12:55 +0000 2018,"@_Kevin_Pham how much did you invest to mine Bitcoin, Kevin ?",1.0
Fri Mar 23 01:13:15 +0000 2018,@CNN sooo what you're saying is only buy #bitcoin that is #madeintheusa,0.0
Fri Mar 23 01:13:25 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:13:54 +0000 2018,"Fri Mar 23 02:13:32 2018 (13:12)
USD : 8623.96
Wght: 0.43
Blk#: 514745
Size: 550.9 KB
TXs:  1442
Pool: 34 (0.0 MB)
#bitcoin",0.0
Fri Mar 23 01:14:21 +0000 2018,"Current Bitcoin Price = $9693.62 --- Includes Sum of Forks, Core $8624.00 (88.97%) + Cash $1010.13 (10.42%) + Gold $59.49 (0.61%)",0.0
Fri Mar 23 01:14:34 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:14:35 +0000 2018,"please give me
32yyeXCAqrxbKMvSDP9ymib64wJfB8GUbe

#Ripple
#Bitcoin
#help",0.0
Fri Mar 23 01:14:39 +0000 2018,New #bitcoin block 00000000000000000009fb95b43a4042b322c5468c7763368920718708ff65a0 mined at height 514745.,1.0
Fri Mar 23 01:15:01 +0000 2018,"The current price of Bitcoin is $8666.39.
The current price of BCash is $1007.41, or 0.116903 BTC",0.0
Fri Mar 23 01:15:05 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:16:28 +0000 2018,"""Bitcoin Core don't support creativity of people they don't know"" - @DanielKrawisz at @Satoshis_Vision #satoshisvision #BitcoinCash #bch",0.0
Fri Mar 23 01:16:58 +0000 2018,ICE Agency Charges Payza and Two Canadian Citizens With Bitcoin Money Laundering #ico #cryptocurrency #token #ROX #Robotinaico,0.0
Fri Mar 23 01:17:06 +0000 2018,"Bitcoin Cash BCH Current Price:
$1.010,820
1 Hour: -0.06 % | 24 Hours: -3.66 % | 7 Days: 8.95 %
#bch #bitcoin cash",0.0
Fri Mar 23 01:17:35 +0000 2018,@_Kevin_Pham Trumps retarded policies and actions are about to make bitcoin way more valuable...probably sooner than later.,-1.0
Fri Mar 23 01:17:52 +0000 2018,"@pwthornton Bitcoin fans: Fuck the FDIC and big government regulations!
Also Bitcoin fans: What the fuck just happened to my money?",-1.0
Fri Mar 23 01:18:03 +0000 2018,@twobitidiot Same. Gold is seen as a global currency and bitcoin is the new age version of it.,1.0
Fri Mar 23 01:19:02 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:19:46 +0000 2018,@ValoremF a great bonus to pursue. #AdVelorem #Bitcoin #Valorem #Ico,1.0
Fri Mar 23 01:19:49 +0000 2018,"@pipis @makmummasjid Me ; 
PINTEREST RENEGADE, BRANDING INTERN, BITCOIN CZAR. IGNORING YOUR PASSION IS LIKE DYING A SLOW DEATH.",-1.0
Fri Mar 23 01:20:04 +0000 2018,"1 bitcoin = $8648.6 / 7019.636€
1 bitcoin-cash = $1012.28 / 821.617€
1 ethereum = $534.693 / 433.983€
#bitcoin #ethereum #bitcoincash",0.0
Fri Mar 23 01:20:39 +0000 2018,@tanjrinidad bitcoin,0.0
Fri Mar 23 01:20:57 +0000 2018,@rogerkver @Falkvinge Bitcoin #BCH Leaders 🌎✌🏻,0.0
Fri Mar 23 01:21:30 +0000 2018,@nlckstephens is bitcoin a woke ally,0.0
Fri Mar 23 01:21:32 +0000 2018,somebody teach me how to use bitcoin so I can get some actual coinT,0.0
Fri Mar 23 01:22:20 +0000 2018,@illusionfoxe in fact by mining a bitcoin you actually end up spending a bunch of money. and/or burning your house down. or both.,-1.0
Fri Mar 23 01:22:38 +0000 2018,Celebrate birthday and take interesting prizes with @bethereumteam #bethereum #bitcoin #news #crypto #blockchain #betting #tokensupply #bthr,1.0
Fri Mar 23 01:23:08 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:23:18 +0000 2018,"Your bet, your rules! This is how says @bethereumteam #bethereum #bitcoin #news #crypto #blockchain #betting #tokensupply #bthr",0.0
Fri Mar 23 01:23:29 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:24:10 +0000 2018,"Should be buy Tron or not?
 #trx #tron #altcoins #cryptocurrency #ethereum #bitcoin",0.0
Fri Mar 23 01:24:15 +0000 2018,@rogerkver @Falkvinge Only diet Bitcoin Cash Lite will be left after all the rubble of Vers massive poop dumps is through.,0.0
Fri Mar 23 01:24:38 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:24:46 +0000 2018,@crypto_capone Bitcoin.,0.0
Fri Mar 23 01:25:42 +0000 2018,"Satoshi's genius was building a system that didn't need him to be succesful.

Bitcoin is self-sufficient.",0.0
Fri Mar 23 01:26:21 +0000 2018,@APompliano but what if someone killed all the bitcoin developers?,-1.0
Fri Mar 23 01:26:40 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:26:40 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:26:45 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:26:49 +0000 2018,Satoshi Nakamoto as banned the project of bitcoin in 2015. So making money off a dead coin pure trolling!,1.0
Fri Mar 23 01:27:15 +0000 2018,"@CryptoCamel1 @MoonOverlord I hate to tell you this... but even 10,000 50k+ follower accounts don't make 24k bitcoin volume.",-1.0
Fri Mar 23 01:27:47 +0000 2018,#bitcoin #elliot  5th wave coming with squeeze over 9200,0.0
Fri Mar 23 01:28:01 +0000 2018,@ashleyfeinberg will you throw me a party with your bitcoin money to unveil,0.0
Fri Mar 23 01:28:20 +0000 2018,"@buzzshownetwork 
This project is great
#Bitcoin #ICO #BTC #ETH #YouTube",1.0
Fri Mar 23 01:28:21 +0000 2018,@brian_lovin @ruzannaroz If someone can tell me a quick shortcut for the degrees symbol I’ll give you all the Bitcoin I own,1.0
Fri Mar 23 01:28:42 +0000 2018,"@mybtcnig I'm from China. I need a lot of gift card and bitcoin. Can you see the price list of your goods?
My whatsapp:+8618678303679",0.0
Fri Mar 23 01:28:49 +0000 2018,@option_snipper For a second I thought the chart belongs to bitcoin LOL,1.0
Fri Mar 23 01:29:01 +0000 2018,@Dry_Observer @DrDenaGrayson @ericgarland what are the references to bitcoin? i must’ve missed this connection.,0.0
Fri Mar 23 01:29:35 +0000 2018,how many out there have applied the Ichimoku Cloud to trading #bitcoin?,1.0
Fri Mar 23 01:29:58 +0000 2018,"@xkeepah @illusionfoxe not to mention, that recent report that talked about how every bitcoin(?) contains CP",0.0
Fri Mar 23 01:30:02 +0000 2018,"Bitcoin:$8650.44
Ethereum:$534.767
Bitcoin Cash:$1010.69
Litecoin:$162.129
Ripple:$0.650947
IOTA:$1.31849",0.0
Fri Mar 23 01:30:04 +0000 2018,"1 bitcoin = $8650.44 / 7021.129€
1 bitcoin-cash = $1007.59 / 817.81€
1 ethereum = $534.767 / 434.043€
#bitcoin #ethereum #bitcoincash",0.0
Fri Mar 23 01:30:04 +0000 2018,One Bitcoin now worth $8557.49@bitstamp. High $9099.590. Low $8503.520. Market Cap $144.899 Billion #bitcoin,1.0
Fri Mar 23 01:30:20 +0000 2018,@AndrewQuackson The Bolton move was set up by Barron for bitcoin gainz.,0.0
